Index | Similarity
  814 | 0.99996
  815 | 0.99996
  816 | 0.99998
  817 | 0.99998
  818 | 0.99995
  819 | 0.99998
  820 | 0.99995
  821 | 0.99999
  822 | 0.99613
  823 | 0.99880
  824 | 0.99998
  825 | 0.99998
  826 | 0.99951
  827 | 0.99995
  828 | 0.99997
  829 | 0.99995
  830 | 0.99995
  831 | 0.99994
  832 | 0.99997
  833 | 0.99998
  834 | 0.99996
  835 | 0.99996
  836 | 0.99996
  837 | 0.99999
  838 | 0.99999
  839 | 0.99998
  840 | 0.99999
  841 | 0.99995
  842 | 0.99995
  843 | 0.99997
  844 | 0.99998
  845 | 0.99998
  846 | 0.99999
  847 | 0.99997
  848 | 0.99996
  849 | 0.99997
  850 | 0.99998
  851 | 0.99989
  852 | 0.99993
  853 | 0.99983
  854 | 0.99988
  855 | 0.99981
  856 | 0.99985
  857 | 0.99976
  858 | 0.99980
  859 | 0.99978
  860 | 0.99981
  861 | 0.99988
  862 | 0.99989
  863 | 0.99984
  864 | 0.99987
  865 | 0.99993
  866 | 0.99996
  867 | 0.99990
  868 | 0.99988
  869 | 0.99993
  870 | 0.99993
  871 | 0.99992
  872 | 0.99988
  873 | 0.99989
  874 | 0.99983
  875 | 0.99958
  876 | 0.99991
  877 | 0.99986
  878 | 0.99989
  879 | 0.99992
  880 | 0.99994
  881 | 0.99988
  882 | 0.99989
  883 | 0.99996
  884 | 0.99990
  885 | 0.99985
  886 | 0.99997
  887 | 0.99993
  888 | 0.99990
  889 | 0.99996
  890 | 0.99996
  891 | 0.99986
  892 | 0.99993
  893 | 0.99988
  894 | 0.99990
  895 | 0.99993
  896 | 0.99995
  897 | 0.99991
  898 | 0.99989
  899 | 0.99988
  900 | 0.99988
  901 | 0.99990
  902 | 0.99995
  903 | 0.99990
  904 | 0.99990
  905 | 0.99992
  906 | 0.99991
  907 | 0.99994
  908 | 0.99997
  909 | 0.99994
  910 | 0.99994
  911 | 0.99989
  912 | 0.99990
  913 | 0.99976
  914 | 0.99987
  915 | 0.99958
  916 | 0.99986
  917 | 0.99990
  918 | 0.99994
  919 | 0.99991
  920 | 0.99988
  921 | 0.99987
  922 | 0.99996
  923 | 0.99986
  924 | 0.99991
  925 | 0.99983
  926 | 0.99995
  927 | 0.99996
  928 | 0.99995
  929 | 0.99997
  930 | 0.99996
  931 | 0.99998
  932 | 0.99993
  933 | 0.99994
  934 | 0.99998
  935 | 0.99994
  936 | 0.99994
  937 | 0.99991
  938 | 0.99988
  939 | 0.99993
  940 | 0.99998
  941 | 0.99997
  942 | 0.99996
  943 | 0.99995
  944 | 0.99989
  945 | 0.99987
  946 | 0.99994
  947 | 0.99987
  948 | 0.99991
  949 | 0.99991
  950 | 0.99991
  951 | 0.99987
  952 | 0.99991
  953 | 0.99989
  954 | 0.99995
  955 | 0.99995
  956 | 0.99995
  957 | 0.99989
  958 | 0.99991
  959 | 0.99995
  960 | 0.99996
  961 | 0.99992
  962 | 0.99996
  963 | 0.99990
  964 | 0.99988
  965 | 0.99997
  966 | 0.99991
  967 | 0.99995
  968 | 0.99992
  969 | 0.99998
  970 | 0.99992
  971 | 0.99996
  972 | 0.99997
  973 | 0.99995
  974 | 0.99995
  975 | 0.99998
  976 | 0.99997
  977 | 0.99996
  978 | 0.99999
  979 | 0.99995
  980 | 0.99996
  981 | 0.99999
  982 | 0.99998
  983 | 0.99999
  984 | 0.99999
  985 | 0.99999
  986 | 0.99998
  987 | 0.99610
  988 | 0.99859
  989 | 0.99998
  990 | 0.99999
  991 | 0.99996
  992 | 0.99972
  993 | 0.99997
  994 | 1.00000
  995 | 1.00000
  996 | 1.00000
  997 | 0.99999
  998 | 0.99999
  999 | 1.00000
 1000 | 1.00000
 1001 | 1.00000
 1002 | 0.99999
 1003 | 1.00000
 1004 | 1.00000
 1005 | 1.00000
 1006 | 0.99999
 1007 | 0.99999
 1008 | 1.00000
 1009 | 0.99989
 1010 | 0.99990
 1011 | 0.99998
 1012 | 0.99984
 1013 | 0.99998
 1014 | 0.99998
 1015 | 1.00000
 1016 | 0.99999
 1017 | 0.99999
 1018 | 0.99985
 1019 | 0.99994
 1020 | 0.99998
 1021 | 0.99989
 1022 | 0.99989
 1023 | 0.99984
 1024 | 0.99989
 1025 | 0.99988
 1026 | 0.99996
 1027 | 0.99995
 1028 | 1.00000
 1029 | 1.00000
 1030 | 0.99994
 1031 | 0.99994
 1032 | 1.00000
 1033 | 0.99997
 1034 | 0.99998
 1035 | 0.99998
 1036 | 0.99993
 1037 | 0.99990
 1038 | 0.99993
 1039 | 0.99999
 1040 | 0.99997
 1041 | 0.99998
 1042 | 0.99998
 1043 | 1.00000
 1044 | 0.99995
 1045 | 0.99995
 1046 | 1.00000
 1047 | 1.00000
 1048 | 1.00000
 1049 | 1.00000
 1050 | 1.00000
 1051 | 0.99999
 1052 | 0.99999
 1053 | 1.00000
 1054 | 1.00000
 1055 | 0.99998
 1056 | 0.99998
 1057 | 0.99999
 1058 | 0.99999
 1059 | 1.00000
 1060 | 1.00000
 1061 | 1.00000
 1062 | 0.99999
 1063 | 0.99999
 1064 | 0.99997
 1065 | 0.99997
 1066 | 0.99999
 1067 | 0.99999
 1068 | 0.99994
 1069 | 0.99980
 1070 | 0.99976
 1071 | 0.99988
 1072 | 0.99978
 1073 | 0.99987
 1074 | 0.99997
 1075 | 0.99993
 1076 | 0.99994
 1077 | 0.99988
 1078 | 0.99952
 1079 | 0.99953
 1080 | 0.99973
 1081 | 0.99913
 1082 | 0.99937
 1083 | 0.99979
 1084 | 0.99955
 1085 | 0.99906
 1086 | 0.99957
 1087 | 0.99959
 1088 | 0.99947
 1089 | 0.99981
 1090 | 0.99959
 1091 | 0.99976
 1092 | 0.99948
 1093 | 0.99963
 1094 | -0.05108
 1095 | 1.00000
 1096 | 1.00000
 1097 | 1.00000
 1098 | 1.00000
 1099 | 1.00000
 1100 | 1.00000
 1101 | 1.00000
 1102 | 1.00000
 1103 | 1.00000
 1104 | 1.00000
 1105 | 1.00000
 1106 | 1.00000
 1107 | 1.00000
 1108 | 1.00000
 1109 | 1.00000
 1110 | 1.00000
 1111 | 1.00000
 1112 | 1.00000
 1113 | 1.00000
 1114 | 1.00000
 1115 | 1.00000
 1116 | 1.00000
 1117 | 1.00000
 1118 | 1.00000
 1119 | 1.00000
 1120 | 1.00000
 1121 | 1.00000
 1122 | 1.00000
 1123 | 1.00000
 1124 | 1.00000
 1125 | 1.00000
 1126 | 1.00000
 1127 | -0.05345
 1128 | 0.99990
 1129 | 0.99984
 1130 | 0.99985
 1131 | 0.99983
 1132 | 0.99979
 1133 | 0.99964
 1134 | 0.99935
 1135 | 0.99946
 1136 | 0.99971
 1137 | 0.99989
 1138 | 0.99968
 1139 | 0.99957
 1140 | 0.99960
 1141 | 0.99961
 1142 | 0.99584
 1143 | 0.99847
 1144 | 0.99964
 1145 | 0.99824
 1146 | 0.99995
 1147 | 0.99984
 1148 | 0.99996
 1149 | 0.99988
 1150 | 0.99983
 1151 | 0.99986
 1152 | 0.99982
 1153 | 0.99985
 1154 | 0.99990
 1155 | 0.99984
 1156 | 0.99981
 1157 | 0.99983
 1158 | 0.99978
 1159 | 0.99994
 1160 | 0.99990
 1161 | 0.99985
 1162 | 0.99987
 1163 | 0.99990
 1164 | 0.99992
 1165 | 0.99992
 1166 | 0.99995
 1167 | 0.99993
 1168 | 0.99977
 1169 | 0.99982
 1170 | 0.99987
 1171 | 0.99975
 1172 | 0.99972
 1173 | 0.99978
 1174 | 0.99996
 1175 | 0.99992
 1176 | 0.99994
 1177 | 0.99988
 1178 | 0.99994
 1179 | 0.99992
 1180 | 0.99994
 1181 | 0.99992
 1182 | 0.99982
 1183 | 0.99994
 1184 | 0.99984
 1185 | 0.99987
 1186 | 0.99991
 1187 | 0.99986
 1188 | 0.99984
 1189 | 0.99988
 1190 | 0.99992
 1191 | 0.99987
 1192 | 0.99985
 1193 | 0.99986
 1194 | 0.99992
 1195 | 0.99972
 1196 | 0.99980
 1197 | 0.99984
 1198 | 0.99981
 1199 | 0.99969
 1200 | 0.99974
 1201 | 0.99983
 1202 | 0.99981
 1203 | 0.99969
 1204 | 0.99989
 1205 | 0.99988
 1206 | 0.99995
 1207 | 0.99970
 1208 | 0.99972
 1209 | 0.99989
 1210 | 0.99982
 1211 | 0.99979
 1212 | 0.99977
 1213 | 0.99985
 1214 | 0.99991
 1215 | 0.99982
 1216 | 0.99975
 1217 | 0.99988
 1218 | 0.99997
 1219 | 0.99985
 1220 | 0.99990
 1221 | 0.99992
 1222 | 0.99989
 1223 | 0.99996
 1224 | 0.99994
 1225 | 0.99981
 1226 | 0.99998
 1227 | 0.99971
 1228 | 0.99988
 1229 | 0.99991
 1230 | 0.99991
 1231 | 0.99994
 1232 | 0.99995
 1233 | 0.99985
 1234 | 0.99982
 1235 | 0.99996
 1236 | 0.99986
 1237 | 0.99985
 1238 | 0.99984
 1239 | 0.99982
 1240 | 0.99976
 1241 | 0.99982
 1242 | 0.99987
 1243 | 0.99946
 1244 | 0.99977
 1245 | 0.99977
 1246 | 0.99987
 1247 | 0.99988
 1248 | 0.99988
 1249 | 0.99966
 1250 | 0.99989
 1251 | 0.99967
 1252 | 0.99988
 1253 | 0.99990
 1254 | 0.99978
 1255 | 0.99981
 1256 | 0.99994
 1257 | 0.99990
 1258 | 0.99988
 1259 | 0.99979
 1260 | 0.99993
 1261 | 0.99990
 1262 | 0.99989
 1263 | 0.99985
 1264 | 0.99986
 1265 | 0.99988
 1266 | 0.99991
 1267 | 0.99987
 1268 | 0.99991
 1269 | 0.99990
 1270 | 0.99981
 1271 | 0.99975
 1272 | 0.99976
 1273 | 0.99993
 1274 | 0.99987
 1275 | 0.99995
 1276 | 0.99992
 1277 | 0.99987
 1278 | 0.99990
 1279 | 0.99994
 1280 | 0.99987
 1281 | 0.99993
 1282 | 0.99994
 1283 | 0.99992
 1284 | 0.99991
 1285 | 0.99988
 1286 | 0.99988
 1287 | 0.99982
 1288 | 0.99981
 1289 | 0.99997
 1290 | 0.99996
 1291 | 0.99995
 1292 | 0.99993
 1293 | 0.99988
 1294 | 0.99994
 1295 | 0.99982
 1296 | 0.99984
 1297 | 0.99984
 1298 | 0.99987
 1299 | 0.99978
 1300 | 0.99980
 1301 | 0.99992
 1302 | 0.99987
 1303 | 0.99989
 1304 | 0.99992
 1305 | 0.99996
 1306 | 0.99991
 1307 | 0.99517
 1308 | 0.99900
 1309 | 0.99903
 1310 | 0.99971
 1311 | 0.99961
 1312 | 0.99988
 1313 | 0.99984
 1314 | 0.99990
 1315 | 0.99983
 1316 | 0.99995
 1317 | 0.99996
 1318 | 0.99983
 1319 | 0.99987
 1320 | 0.99992
 1321 | 0.99998
 1322 | 0.99977
 1323 | 0.99979
 1324 | 0.99996
 1325 | 0.99992
 1326 | 0.99983
 1327 | 0.99998
 1328 | 0.99975
 1329 | 0.99976
 1330 | 0.99992
 1331 | 0.99987
 1332 | 0.99982
 1333 | 0.99980
 1334 | 0.99982
 1335 | 0.99994
 1336 | 0.99972
 1337 | 0.99978
 1338 | 0.99978
 1339 | 0.99972
 1340 | 0.99998
 1341 | 0.99995
 1342 | 0.99982
 1343 | 0.99988
 1344 | 0.99983
 1345 | 0.99989
 1346 | 0.99989
 1347 | 0.99990
 1348 | 0.99901
 1349 | 0.99975
 1350 | 0.99967
 1351 | 0.99976
 1352 | 0.99983
 1353 | 0.99982
 1354 | 0.99981
 1355 | 0.99980
 1356 | 0.99992
 1357 | 0.99992
 1358 | 0.99977
 1359 | 0.99972
